기간,분류,가족,이웃,공공기관,종합,외국인,강력범죄수,유아기,유치원생,나이_10대,나이_20대,나이_30대,나이_40대,나이_50대,나이_60이상,남자,여자,일인당경제수준
2014,종로구,9.15,5.74,5.46,6.783333333,8133,5021,4493,5021,15870,23540,28497,27460,25918,32996,81935,84265,11.0700722
2014,중구,8.61,6.15,5.08,6.613333333,7843,5231,4652,3928,10156,18123,21407,21406,22008,27250,68276,68497,38.64916321
2014,용산구,8.61,5.41,4.61,6.21,12628,3799,9171,8490,21351,31593,41309,41478,37075,46835,122069,127861,5.109722722
2014,성동구,8.65,5.05,4.9,6.2,7800,3582,12377,11238,27663,43698,52641,51320,47498,51517,152137,153615,2.317194982
2014,광진구,8.73,5.67,4.78,6.393333333,14052,6268,13569,12952,37425,59805,65178,62483,57508,56436,186044,193364,NA
2014,동대문구,8.69,5.53,4.71,6.31,12764,4363,13583,13006,33549,54223,59605,59498,58167,70837,187150,188082,0.947024774
2014,중랑구,8.62,5.24,4.96,6.273333333,4591,5353,16108,14625,40805,60229,68388,70939,73276,75093,211625,212429,0.274007191
2014,성북구,8.96,5.98,4.97,6.636666667,9484,4606,18875,19907,47714,66831,75936,82131,72367,86565,234995,244815,0.789518768
2014,강북구,9,5.78,4.41,6.396666667,3363,4030,12301,11653,32904,43778,52828,57374,55342,70149,167173,172519,NA
2014,도봉구,8.4,5.42,5.14,6.32,2026,3124,13136,13247,39091,48714,52364,60867,62072,65781,176151,181147,0.425941371
2014,노원구,9.2,5.69,5.42,6.77,3495,5312,22596,24439,76931,78805,87025,107873,93283,94320,287060,301707,0.387027466
2014,은평구,8.92,5.57,5.62,6.703333333,4634,5431,20376,20089,52646,65180,82977,86400,78833,93468,246692,257911,0.360662557
2014,서대문구,8.95,5.78,4.98,6.57,10808,4194,11449,10933,31236,46820,49021,53332,48867,61094,156781,166779,1.453214242
2014,마포구,8.85,5.33,5.48,6.553333333,10002,5740,15625,15390,36079,57206,72048,65871,53816,64055,188043,202049,3.316809881
2014,양천구,8.66,5.65,5.99,6.766666667,4507,4642,17856,21047,67406,65494,70809,92804,80465,71472,243817,248043,0.860301712
2014,강서구,8.72,5.31,4.57,6.2,6451,5289,26556,23503,59471,82739,106583,95097,93367,94356,288336,299787,0.736170835
2014,구로구,8.6,5.3,5.04,6.313333333,30735,5389,21197,17855,39824,57768,79831,69843,67026,74147,230806,227420,0.749950898
2014,금천구,9.08,5.61,5.15,6.613333333,19265,3842,8722,8027,22728,34874,39347,41260,41500,42773,132686,125810,1.908679438
2014,영등포구,9.21,5.64,5.21,6.686666667,38933,7003,16090,14290,33895,55061,69868,63417,61124,70247,213072,209853,6.047225867
2014,동작구,9.06,6.02,5.62,6.9,11757,3869,16896,15268,37496,64793,75144,64863,61643,73444,207143,214161,0.927237814
2014,관악구,8.04,5.57,5.16,6.256666667,18754,6781,18356,16375,41665,94008,102548,79629,73266,89191,269849,263943,0.354541097
2014,서초구,9.01,5.56,4.62,6.396666667,4635,5558,20971,21180,52538,60466,78902,81133,64237,68860,218571,234351,5.320622535
2014,강남구,8.42,5.24,4.82,6.16,5346,8851,21467,21643,70840,84996,101754,103417,85279,84360,278057,301045,7.331017679
2014,송파구,9.1,5.31,5,6.47,7010,8004,29077,28733,76106,95687,117721,116200,105502,98985,329828,345193,1.476890349
2014,강동구,8.83,5.53,5.14,6.5,4662,5392,20065,19131,52074,67826,80923,80009,82350,76357,241028,242369,0.608528808
2015,종로구,8.5,5.56,4.89,6.316666667,8991,4705,4347,4870,14889,23353,21925,26570,25479,34075,80796,83703,11.46966243
2015,중구,9.08,5.76,4.75,6.53,8571,4954,4341,3849,9363,17716,20675,20652,21515,28146,67043,67785,39.15316551
2015,용산구,8.79,5.7,4.98,6.49,14512,3820,8868,8202,20157,31557,39537,40591,36854,48581,121475,127384,6.548045279
2015,성동구,8.74,5.5,5.07,6.436666667,8135,3358,12558,11016,26322,43880,51616,50875,47728,54254,152132,154252,2.737522194
2015,광진구,8.99,5.81,4.96,6.586666667,14778,5909,13223,12754,35050,59326,63513,61149,56847,59311,183927,192024,NA
2015,동대문구,8.81,5.62,4.97,6.466666667,13393,4720,13404,12847,31864,54705,57949,58733,57684,74244,186466,188357,1.144991102
2015,중랑구,9.07,5.61,5.51,6.73,4677,5193,15888,14278,37996,59115,66791,68950,73027,79429,209204,210947,0.311225993
2015,성북구,8.93,5.63,5.08,6.546666667,10160,4154,18182,19404,45529,66008,71911,80822,71175,89118,230727,241582,0.881514009
2015,강북구,8.91,5.67,5.5,6.693333333,3487,4257,11573,11391,30862,43451,50213,56232,55123,73521,165058,170795,NA
2015,도봉구,8.9,5.71,5.52,6.71,1980,2664,12843,13107,36573,48046,50921,59683,61312,69989,174421,180033,0.52599491
2015,노원구,8.83,5.28,4.95,6.353333333,3654,5130,22023,23695,72892,77986,83226,105679,92499,99434,283034,298054,0.483184991
2015,은평구,8.91,5.57,5.36,6.613333333,4677,4745,19824,20037,50198,65371,80865,86207,78785,98381,246025,258320,0.406089074
