성별,연령,학력,소득,혼인상태,자치구,주택형태,종교,서울고향,행복_건강,행복_재정,행복_친구,행복_가정,행복_사회,봉사,기부,사회적지위,약자_장애,약자_제도,약자_노인,약자_여성,외국인_친구,외국인_이웃,외국인_가족,정치성향,직업,가족신뢰도,이웃신뢰도,공공기관신뢰도
1,5,3,5,1,680,2,1,3,5,7,8,10,9,2,1,8,4,3,2,3,3,3,2,2,1,5,5,2
2,5,3,3,1,680,2,1,3,4,4,6,6,6,2,1,8,3,3,2,3,4,4,3,3,1,4,3,2
1,4,3,4,1,680,2,3,3,6,7,7,7,6,2,2,8,5,4,3,3,3,4,2,3,1,5,3,4
2,4,3,3,1,680,2,3,3,5,5,4,5,5,2,1,7,4,2,4,5,5,5,4,2,1,5,3,1
2,1,1,0,2,680,2,3,3,9,8,9,10,8,2,2,8,5,5,4,3,4,4,4,2,2,5,4,3
1,4,3,6,1,680,3,3,3,7,6,5,4,8,2,2,8,5,5,5,5,2,4,3,3,1,5,3,4
2,3,3,0,1,680,3,3,3,7,7,6,7,8,2,1,8,5,4,4,3,4,4,4,3,2,5,4,2
2,6,1,0,4,680,3,1,3,6,5,6,5,5,2,2,4,4,3,4,3,5,4,4,3,2,4,2,2
1,5,3,4,1,680,2,1,3,7,6,7,6,7,2,1,8,2,3,3,4,4,2,3,2,1,5,5,1
2,4,3,3,1,680,2,1,3,5,5,6,7,6,2,2,8,2,2,4,5,3,2,3,2,1,5,3,1
2,2,3,3,2,680,2,1,3,8,5,8,7,8,2,2,7,4,3,4,5,3,3,3,1,1,5,4,4
1,3,3,4,1,680,1,1,3,8,8,9,9,8,2,2,7,4,3,4,4,3,4,4,3,1,4,2,3
2,3,3,0,1,680,1,1,3,7,4,6,5,4,2,1,7,3,2,2,3,3,4,3,2,2,5,4,2
2,6,1,0,4,680,3,3,3,6,6,7,6,6,2,2,6,3,2,3,2,4,3,4,3,2,5,4,3
1,6,3,0,1,680,1,3,2,7,6,7,8,8,2,1,7,3,3,4,4,3,3,3,1,2,5,3,4
2,6,2,0,1,680,1,3,3,6,5,6,7,7,2,1,7,4,3,3,3,3,2,4,1,2,4,3,3
1,6,3,4,1,680,3,1,3,7,5,6,7,7,2,1,6,3,4,4,4,4,4,3,2,1,5,3,4
2,6,2,0,1,680,3,1,3,7,8,7,7,8,2,2,6,3,3,2,3,3,2,4,3,2,5,4,3
1,4,3,5,1,680,4,1,3,7,8,7,7,6,2,2,7,4,3,4,4,4,4,3,1,1,5,2,2
2,3,2,0,1,680,4,1,3,9,6,8,7,8,2,2,7,3,2,4,2,1,3,2,1,2,4,2,1
1,4,3,5,1,680,2,3,3,7,7,8,8,7,2,2,6,3,4,2,3,3,4,4,2,1,3,4,3
2,4,2,0,1,680,2,3,3,8,6,7,6,7,2,2,7,4,2,2,4,5,5,4,1,2,5,3,2
1,1,1,0,2,680,2,3,4,8,5,8,8,8,2,2,7,2,2,3,3,5,4,4,1,2,4,3,3
1,5,3,6,1,680,2,3,3,7,5,6,5,6,2,2,7,2,3,3,4,3,3,4,2,1,5,5,2
2,5,3,0,1,680,2,3,3,8,7,8,8,7,1,1,7,2,4,4,2,2,3,2,1,2,5,3,5
2,1,1,0,2,680,2,3,4,9,6,8,8,8,2,2,7,3,2,3,3,4,4,3,1,2,3,2,3
1,5,3,5,1,680,4,1,3,8,2,6,7,7,2,1,7,4,3,4,4,4,5,4,3,1,5,3,2
2,4,3,4,1,680,4,1,3,8,6,8,7,8,1,1,6,4,4,2,4,2,2,3,2,1,5,4,1
1,4,3,6,1,680,3,1,3,7,7,7,7,6,2,1,7,3,4,4,2,3,3,3,1,1,2,2,2
2,4,3,0,1,680,3,1,2,9,6,7,7,6,2,2,8,3,2,4,2,5,5,5,1,2,5,1,2
1,6,3,5,1,680,1,1,3,8,7,8,8,7,2,1,7,4,3,4,3,4,4,4,2,1,5,3,4
2,6,3,0,1,680,1,1,2,8,7,8,8,7,2,1,8,3,2,3,3,3,4,4,2,2,5,4,2
1,4,2,4,3,680,2,6,3,7,6,7,7,8,2,2,8,3,3,4,3,3,4,4,3,1,4,3,3
1,1,1,0,2,680,2,6,3,8,8,8,8,8,2,2,4,4,4,3,3,5,4,4,1,2,4,3,3
1,5,3,4,1,680,4,1,2,3,2,5,5,3,2,1,5,2,2,2,2,2,4,2,3,1,5,3,1
2,4,2,3,1,680,4,1,2,7,3,7,4,7,2,2,7,4,3,1,2,4,3,3,1,1,5,4,4
2,2,3,0,2,680,4,1,3,5,6,6,5,5,2,2,6,4,3,2,3,3,3,2,1,2,4,3,2
1,1,2,0,2,680,4,1,4,8,4,9,7,7,2,2,8,2,2,3,3,3,4,4,3,2,4,3,2
2,6,1,0,4,680,4,6,3,5,6,5,5,5,2,2,4,3,2,3,2,4,4,3,1,2,5,4,4
1,5,3,6,1,680,2,6,3,7,6,7,7,6,2,2,7,3,2,4,3,4,3,3,2,1,2,3,5
2,5,3,0,1,680,2,6,3,5,5,6,6,5,2,2,7,3,3,2,4,3,3,3,2,2,5,3,4
1,4,3,4,1,680,2,2,3,7,5,6,8,8,2,2,7,2,3,2,3,3,3,3,3,1,4,3,1
2,4,3,4,1,680,2,2,3,5,5,4,5,5,2,1,7,4,2,4,5,4,3,3,2,1,5,4,2
1,1,1,0,2,680,2,2,3,9,4,9,8,7,2,2,7,3,2,2,3,3,4,2,1,2,5,3,3
1,3,3,4,1,680,3,1,3,6,7,6,6,6,2,2,7,4,4,4,4,4,2,2,2,1,5,4,4
2,3,3,3,1,680,3,1,3,7,7,6,7,8,2,2,7,4,4,3,4,3,3,3,3,1,4,4,4
2,6,3,4,4,680,2,3,3,7,8,8,7,7,2,1,6,3,2,3,2,4,4,4,3,1,5,4,4
1,4,3,4,1,680,2,1,3,6,6,6,6,5,2,2,7,4,4,5,5,3,4,4,2,1,5,3,2
2,4,3,3,1,680,2,1,2,5,6,5,6,5,2,1,7,4,2,4,5,4,4,3,1,1,5,3,2
1,1,2,0,2,680,2,1,3,8,3,7,7,5,2,1,8,1,4,4,4,3,3,4,1,2,5,3,3
1,4,3,5,1,680,2,3,3,8,6,7,8,8,2,1,8,3,2,3,3,3,4,4,3,1,4,3,3
2,4,3,4,1,680,2,3,3,6,5,6,5,6,2,1,8,2,2,4,5,3,3,3,2,1,5,4,2
1,3,3,4,1,680,2,1,3,8,7,8,5,8,2,1,7,4,3,3,3,4,3,4,1,1,5,3,2
2,3,3,3,1,680,2,1,3,8,4,6,6,2,2,1,8,4,4,1,4,1,2,2,1,1,5,3,4
1,6,3,6,1,680,1,1,3,8,7,7,8,7,2,1,8,4,4,4,5,3,4,3,1,1,4,3,4
2,6,3,0,1,680,1,1,3,8,7,8,7,7,2,1,7,4,3,3,4,3,4,4,3,2,5,3,3
1,5,3,4,1,680,1,1,3,7,6,6,5,6,2,2,8,2,3,2,4,2,4,3,2,1,5,5,2
2,5,2,0,1,680,1,1,3,4,4,3,4,3,2,1,7,4,3,2,3,4,4,5,3,2,4,2,3
2,2,3,3,2,680,1,1,3,7,5,7,6,7,2,1,7,4,3,4,4,3,3,2,2,1,4,2,2
1,5,3,6,1,680,2,1,3,6,6,6,7,7,2,1,7,2,2,3,4,3,3,2,1,1,5,5,2
2,5,3,0,1,680,2,1,2,7,8,7,6,5,2,1,7,4,2,1,1,3,3,3,1,2,5,1,4
2,2,4,0,2,680,2,1,3,9,9,9,8,8,2,1,8,4,3,2,4,4,4,4,2,2,5,4,4
1,5,4,6,1,680,2,3,2,7,7,6,7,7,2,1,8,2,3,3,4,3,2,4,2,1,5,5,2
2,5,3,0,1,680,2,3,3,7,5,7,8,7,2,1,7,2,4,2,3,4,4,3,2,2,5,2,2
2,1,1,0,2,680,2,3,3,9,10,9,10,9,2,1,7,4,5,5,3,2,2,3,2,2,5,4,2
1,3,3,3,1,680,2,3,3,9,8,9,9,9,2,1,7,3,3,2,3,4,4,3,2,1,5,3,4
2,3,3,2,1,680,2,3,3,9,5,9,9,9,2,1,6,2,1,2,1,4,3,3,3,1,4,1,1
1,5,3,6,1,680,2,2,3,7,5,6,5,6,2,1,8,3,4,4,4,4,4,4,3,1,5,4,2
2,5,3,3,1,680,2,2,3,8,7,7,8,7,2,2,8,2,3,4,3,3,4,3,3,1,5,3,1
1,5,3,5,1,110,1,1,3,8,7,8,9,8,2,1,8,4,3,4,3,4,4,2,2,1,4,4,4
2,4,2,0,1,110,1,1,3,6,2,5,6,5,2,2,6,5,5,4,4,4,4,2,2,2,5,4,3
1,3,3,6,1,680,2,6,3,6,6,6,5,5,2,1,8,5,3,3,4,3,4,4,2,1,5,3,1
2,3,3,0,1,680,2,6,4,9,6,7,8,7,2,2,5,4,4,2,3,4,2,4,1,2,5,3,5
1,5,2,6,1,680,2,2,3,7,2,3,4,5,2,2,7,3,4,4,4,2,3,2,3,1,5,4,4
2,5,2,0,1,680,2,2,4,3,3,7,6,7,2,1,7,3,3,2,3,3,4,3,3,2,4,4,4
1,5,3,6,1,680,2,6,3,4,4,5,2,2,2,1,7,2,2,3,3,3,4,2,3,1,3,4,3
2,5,2,0,1,680,2,2,4,6,5,7,6,5,2,2,8,4,3,3,2,4,4,5,3,2,4,2,4
2,2,1,0,2,680,2,6,4,7,6,6,7,6,1,2,7,2,2,3,4,5,5,5,1,2,5,3,3
